country,origin,system,status,url
NA,Russia,R-149MA3 command and staff vehicle,captured,https://i.postimg.cc/GtdbBMjV/4f7.png
NA,Soviet Union,1V119 artillery battalion fire direction vehicle,captured,https://i.postimg.cc/GmVvVvpf/8k.png
NA,Russia,TZM-T reloader vehicle (for TOS-1A),captured,https://i.postimg.cc/7PWhmmcg/u8.jpg
NA,Soviet Union,Unknown BTR-D/BMD-2,captured,https://i.postimg.cc/7PgrKTDY/s1.jpg
NA,Russia,Unknown AFV,captured,https://i.postimg.cc/Ls88PXB9/74.png
NA,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/HxYDSTTS/542.png
NA,Soviet Union,BMP-2,captured,https://i.postimg.cc/NFhVD8bY/659.png
NA,Soviet Union,BMP-2K,captured,https://i.postimg.cc/JnK0gXrB/763.png
NA,Russia,BMP-3,captured,https://i.postimg.cc/nrBdhrmk/3da.png
NA,Soviet Union,BMD-2,captured,https://i.postimg.cc/SxpBCFNR/4433.png
NA,Russia,BMD-4M,captured,https://i.postimg.cc/nrLk93TH/d2c.png
NA,Russia,BTR-82A,captured,https://i.postimg.cc/Kcg5Wc8N/o1.png
NA,Soviet Union,BTR-80,captured,https://i.postimg.cc/sXz38mY9/32d.png
NA,Soviet Union,T-64BV,abandoned,https://i.postimg.cc/Tw85mW08/f4.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/2y474krg/336.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/pdQwzGBj/7763.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/xdYHR8yF/f2h.png
NA,Soviet Union,T-72B,abandoned,https://i.postimg.cc/ZnF3nGrh/7uu.jpg
NA,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/pT8gPXns/g78.png
NA,Russia,T-72B3,captured,https://i.postimg.cc/QMpKGxyL/324.png
NA,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/fLpZW20x/d35.png
NA,Soviet Union,T-80BV,captured,https://i.postimg.cc/jdKNRZQV/v6.jpg
NA,Russia,T-80U,captured,https://i.postimg.cc/BQnQ8tqm/5799.png
NA,Russia,T-80UK,captured,https://i.postimg.cc/pLG98wSz/3h.png
NA,Russia,T-80BVM,captured,https://i.postimg.cc/CxH8wwhD/3d20.png
NA,Russia,T-90A,captured,https://i.postimg.cc/KzmrkB8F/bf.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/4dtYkZVp/43.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/nM8jX4k8/5422.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/VsC0bQZ3/541.png
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/T2DGFDC5/h65.png
NA,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/3NqQz3zh/5gj.png
NA,Russia,T-72B3,abandoned,https://i.postimg.cc/90XRZvq9/4432.png
NA,Russia,T-72B3 Obr. 2016,abandoned,https://i.postimg.cc/PJxLN77q/3h.png
NA,Soviet Union,T-80BV,abandoned,https://i.postimg.cc/5txSTbY7/368.png
NA,Russia,T-80U,captured,https://i.postimg.cc/hv56LFZ3/t5.png
NA,Russia,T-80UK,captured,https://i.postimg.cc/85Vs1vt5/v6.jpg
NA,Russia,T-80BVM,captured,https://i.postimg.cc/fWVW6BwK/v8.jpg
NA,Russia,T-90A,captured,https://i.postimg.cc/hPHLMRrc/65h.png
NA,Russia,Unknown tank,captured,https://i.postimg.cc/907C3bwz/3324.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/ZYXm1v90/d1k.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/Tw5GDxqp/ff13.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/W1SsT1yQ/468.png
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/FKmnM11S/43fh.png
NA,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/Pq9dkXdz/d22.jpg
NA,Russia,T-72B3,damaged,https://i.postimg.cc/44SFGsk4/4373.png
NA,Russia,T-72B3 Obr. 2016,abandoned,https://i.postimg.cc/vHYqqTjM/544.png
NA,Soviet Union,T-80BV,abandoned,https://i.postimg.cc/j23fFqPt/875.jpg
NA,Soviet Union,T-64BV,destroyed,https://postimg.cc/bGSbfRQm
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/gj3KbRGG/fsl.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/Ss7ZV5zW/d13p.png
NA,Soviet Union,T-64BV,abandoned,https://i.postimg.cc/6qdwks4D/n7.jpg
