country,origin,system,status,url
Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/DzysMK3J/t1f.png
Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/QxhMbJ3V/a1.png
Russia,Russia,T-80BVM,abandoned,https://i.postimg.cc/ZnF3nGrh/7uu.jpg
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/pT8gPXns/g78.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/QMpKGxyL/324.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/fLpZW20x/d35.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/jdKNRZQV/v6.jpg
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/BQnQ8tqm/5799.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/pLG98wSz/3h.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/CxH8wwhD/3d20.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/KzmrkB8F/bf.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/NMNZPpZN/gl.png
Russia,Russia,T-80BVM,captured,https://i.postimg.cc/Y0pm2Yhh/d35.png
Russia,Russia,T-90A,destroyed,https://i.postimg.cc/4dtYkZVp/43.png
Russia,Russia,T-90A,destroyed,https://i.postimg.cc/nM8jX4k8/5422.png
Russia,Russia,T-90A,destroyed,https://i.postimg.cc/VsC0bQZ3/541.png
Russia,Russia,T-90A,destroyed,https://i.postimg.cc/T2DGFDC5/h65.png
Russia,Russia,T-90A,destroyed,https://i.postimg.cc/3NqQz3zh/5gj.png
Russia,Russia,T-90A,destroyed,https://i.postimg.cc/DZQ2qvtq/fr.png
Russia,Russia,T-90A,abandoned,https://i.postimg.cc/vHYqqTjM/544.png
Russia,Russia,T-90A,abandoned,https://i.postimg.cc/90XRZvq9/4432.png
Russia,Russia,T-90A,abandoned,https://i.postimg.cc/PJxLN77q/3h.png
Russia,Russia,T-90A,abandoned,https://i.postimg.cc/5txSTbY7/368.png
Russia,Russia,T-90A,captured,https://i.postimg.cc/hv56LFZ3/t5.png
